name,address1,cate_gories
India Bazaar Farmers Market,"360 US-46, Totowa, NJ, 07512","Grocery, Farmers Market"
Texas Roadhouse,"181 Huguenot St, New Rochelle, NY, 10801","Steakhouses, Barbeque, American (Traditional)"
Central Fish Market,"401 Central Ave, Jersey City, NJ, 07307","Seafood Markets, Seafood"
Townhouse Diner,"696 2nd Ave, New York, NY, 10016","Breakfast & Brunch, Diners, American (Traditional)"
Dee's Wood Fired Pizza & Kitchen,"107-23 Metropolitan Ave, Forest Hills, NY, 11375","Pizza, Italian, American (Traditional)"
Bluestone Lane,"409 Washington St, Hoboken, NJ, 07030","Coffee & Tea, Gluten-Free, Breakfast & Brunch"
Richie's Place Coffee Shop,"169-02 Hillside Ave, Jamaica, NY, 11432","Breakfast & Brunch, Coffee & Tea, Salvadoran"
Get Stuffed Jersey,"2705 Morris Ave, Union, NJ, 07083","Pretzels, Pizza"
Imperial Moving & Storage,"83 Washington Pl, New York, NY, 10011",Movers
Jose Tejas,"647 US Hwy 46 W, Fairfield, NJ, 07004","Tex-Mex, Cajun/Creole"
Xing Wong BBQ,"89 E Broadway, New York, NY, 10002",Chinese
Man With A Van,", New York, NY, 10036","Movers, Packing Services"
The Inkan,"4502 23rd St, Long Island City, NY, 11101","Peruvian, Latin American, Salad"
Shake Shack Upper East Side,"154 E 86th St, New York, NY, 10028","Burgers, Juice Bars & Smoothies, Ice Cream & Frozen Yogurt"
Genki Bento,"294 Stuyvesant Ave, Lyndhurst, NJ, 07071","Chinese, Japanese"
Lima 33 Restaurant,"254-04 Northern Blvd, Little Neck, NY, 11362",Peruvian
Sam's Place,"320 Main St, West Orange, NJ, 07052","Barbeque, Wraps, Sandwiches"
LACKAWANNA COFFEE,"140 Bay St, Jersey City, NJ, 07302","Coffee & Tea, Bakeries, Cafes"
Freebird Kitchen and Bar,"161 Mamaroneck Ave, White Plains, NY, 10601","Southern, Comfort Food, American (Traditional)"
D Mart Farmers Market,"580 Paterson Ave, East Rutherford, NJ, 07073",Grocery
Bisoux Market,"Terminal D Nka Laguardia Ariport, New York, NY, 11203","Gelato, Coffee & Tea, American (Traditional)"
Williams-Sonoma,"10 Columbus Cir, New York, NY, 10019","Specialty Food, Kitchen & Bath"
Mason Sandwich Company,"33 Mill Rd, Eastchester, NY, 10709","Sandwiches, Salad, American (New)"
GOGI 37,"252 West 37th St, New York, NY, 10018","Bars, Korean, Barbeque"
Arancini Bros,", Brooklyn, NY, 11206","Caterers, Sicilian"
The Brass Rail Hoboken,"135 Washington St, Hoboken, NJ, 07030","American (New), Bars"
Joy Burger Bar,"1567 Lexington Ave, New York, NY, 10029","Burgers, Sandwiches"
Medieval Times Dinner & Tournament,"149 Polito Ave, Lyndhurst, NJ, 07071","American (Traditional), Dinner Theater"
Istakoza Seafood & Steak,"7721 5th Ave, Brooklyn, NY, 11209","Seafood, Middle Eastern, Steakhouses"
Cyndia's,"169 Union Blvd, Totowa, NJ, 07512","Breakfast & Brunch, Cafes"
French Roast,"2340 Broadway, New York, NY, 10024","French, Breakfast & Brunch, Bars"
Pongsri Thai Restaurant,"244 W 48th St, New York, NY, 10036","Thai, Bars"
The Front Porch,"217 Wagaraw Rd, Hawthorne, NJ, 07506","Pubs, American (New), Asian Fusion"
The Beer Spot and Grill,"2027 Lemoine Ave, Fort Lee, NJ, 07024","American (New), Beer Bar"
Segovia Steak & Seafood,"217 Main St, Fery, NJ, 07643","Steakhouses, Seafood"
Smokehouse Tailgate Grill,"587 North Ave, New Rochelle, NY, 10801","Barbeque, American (New), Burgers"
Samudra Vegetarian Restaurant & Chaat House,"75-18 37th Ave, Jackson Heights, NY, 11372","Indian, Vegetarian"
Copper Canyon,"51 1st Ave, Atlantic Highlands, NJ, 07716",Tex-Mex
Empanadas Cart,", Ridgewood, NY, 11385","Empanadas, Food Trucks"
Franklin Lakes Country Cafe,"436 Pulis Ave, Franklin Lakes, NJ, 07417","Diners, Breakfast & Brunch"
VSPOT,"156 5th Ave, Brooklyn, NY, 11217","Vegan, Latin American"
The Wheeltapper Pub And Patio,"141 E 44th St, New York, NY, 10017","Irish, Pubs, Burgers"
Sophie's Cuban Cuisine - Hell's Kitchen,"947 8th Ave, New York, NY, 10019",Cuban
