name,address1,cate_gories
The Drunken Unicorn,736 Ponce De Leon Ave,Music Venues
Elbow Room Bar,248 Pharr Rd NE,"Dive Bars, Sports Bars, Pizza"
The Locker Club,487 Edgewood Ave SE,Cocktail Bars
TEN ATL,495 Flat Shoals Ave SE,"Lounges, Hookah Bars, Music Venues"
Jojo’s Beloved Cocktail Lounge,1197 Peachtree St Ne,"Cocktail Bars, Speakeasies, Lounges"
Der Biergarten,300 Marietta St NW,"German, Beer Gardens"
Botica,1820 Peachtree Rd NW,"Spanish, Mexican, Bars"
The Dragonfly Lounge,3895 Cherokee St NW,"Lounges, Hookah Bars, Arcades"
Josephine Lounge,3277 Buford Hwy NE,Lounges
Encore KTV Lounge,3865 Venture Dr,"Karaoke, Lounges, Dance Clubs"
Hartley Kitchen & Cocktails,1340 W Peachtree St NW,"American (Traditional), Cocktail Bars"
CalaBar & Grill,4144 Redan Rd,"Cocktail Bars, American (New), Caribbean"
Parlor,249 Peters St SW,"Cocktail Bars, Lounges"
Impulse Karaoke,4771 Britt Rd,"Karaoke, Lounges, Hookah Bars"
JB's Billiards and Bar,4148 Jonesboro Rd,"Dive Bars, Pool & Billiards, American (Traditional)"
Brew and Bird,1355 Clairmont Rd,"Beer Bar, Chicken Wings"
The Painted Duck,976 Brady Ave NW,"Bars, Bowling"
Orpheus Brewing,1440 Dutch Valley Pl NE,Breweries
Lumen Bar,181 Peachtree St NE,Cocktail Bars
Chairs,2783 Main St,"Bars, American (Traditional)"
Sweet Georgia's Juke Joint,200 Peachtree St NE,"Southern, Music Venues"
Park Bar,150 Walton St,"Bars, Burgers"
Illuminarium Atlanta,550 Somerset Ter NE,"Bars, Cafes, Venues & Event Spaces"
The Righteous Room,2142 Johnson Ferry Rd,"American (Traditional), Dive Bars"
Revery VR Bar,728 Monroe Dr,"Cocktail Bars, Dance Clubs, Arcades"
El Valle,800 Peachtree St NE,"Mexican, Cocktail Bars, Desserts"
Benchwarmer's,2775 Clairmont Rd,"American (Traditional), Sports Bars"
The Bookhouse Pub,736 Ponce De Leon Ave NE,Pubs
Willow Bar,374 East Places Ferry Rd NE,Bars
Big Game,720 Ralph Mcgill Blvd NE,Sports Bars
